j_no	s_no	j_title	j_content	j_salary	j_start	j_end	j_day	j_people	j_state	j_regdate
291	18	라온영화관 추가 알바 모집	라온영화관은 서울 지역의 영화관 매장입니다. 입장권 확인과 상영관 입장 안내를 맡고 영화 종료 후 좌석 사이 쓰레기를 정리합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	14500	19:00:00	01:00:00	평일	3	1	2026-07-29
292	19	시네마온 추가 알바 모집	시네마온은 서울 지역의 영화관 매장입니다. 상영관 청소와 3D 안경 회수 정리를 맡아 다음 회차 입장이 늦어지지 않게 준비합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	14750	21:00:00	04:00:00	주말	4	1	2026-07-14
293	20	무비라운지 추가 알바 모집	무비라운지은 서울 지역의 영화관 매장입니다. 매점에서 팝콘 음료 세트 포장을 보조하고 대기 줄이 길어지면 주문 안내를 돕습니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	10000	10:00:00	14:00:00	월,수,금	1	1	2026-06-27
294	21	드림스터디 추가 알바 모집	드림스터디은 서울 지역의 학원 매장입니다. 상담 예약표를 정리하고 강의 종료 후 교실 전등 냉난방 상태를 확인합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	10250	12:00:00	17:00:00	화,목,토	2	0	2026-09-04
295	22	올림학원 추가 알바 모집	올림학원은 서울 지역의 학원 매장입니다. 프린트물 복사와 시험지 분류를 보조하며 자습실 이용 학생을 조용히 안내합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	10500	14:00:00	20:00:00	월,화,수	3	1	2026-08-24
296	23	하이클래스학원 추가 알바 모집	하이클래스학원은 서울 지역의 학원 매장입니다. 학생 출결 확인과 교재 배부를 맡고 수업 전 강의실 책상과 칠판 상태를 정리합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	10750	16:00:00	23:00:00	목,금,토	4	1	2026-07-06
297	24	하나로마켓 추가 알바 모집	하나로마켓은 서울 지역의 마트 매장입니다. 유통기한이 가까운 상품을 분류하고 매대 앞쪽으로 상품을 보기 좋게 당겨 놓습니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	11000	18:00:00	22:00:00	평일	1	1	2026-08-11
298	25	우리동네마트 추가 알바 모집	우리동네마트은 서울 지역의 마트 매장입니다. 농산 코너와 냉장 코너 상태를 점검하고 손님이 찾는 상품 위치를 안내합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11250	20:00:00	01:00:00	주말	2	1	2026-07-17
299	26	그린마트 추가 알바 모집	그린마트은 서울 지역의 마트 매장입니다. 창고에서 필요한 상품을 가져와 진열하고 파손 상품이나 누락 가격표를 직원에게 전달합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11500	09:00:00	15:00:00	월,수,금	3	1	2026-07-15
300	27	해피마트 추가 알바 모집	해피마트은 서울 지역의 마트 매장입니다. 카트와 장바구니를 정리하고 계산대 주변 소모품과 봉투 재고를 채웁니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11750	11:00:00	18:00:00	화,목,토	4	1	2026-07-23
301	28	로지스허브 추가 알바 모집	로지스허브은 서울 지역의 물류센터 매장입니다. 입고 상품 바코드를 확인하고 분류 구역별로 박스를 이동시키는 업무를 맡습니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	12000	13:00:00	17:00:00	월,화,수	1	0	2026-08-12
302	29	정직물류 추가 알바 모집	정직물류은 서울 지역의 물류센터 매장입니다. 반품 상품 상태를 확인해 정상 재고와 검수 필요 물품으로 나누어 정리합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	12250	15:00:00	20:00:00	목,금,토	2	1	2026-08-18
303	30	데이터헬퍼 추가 알바 모집	데이터헬퍼은 서울 지역의 사무보조 매장입니다. 계약서와 신청서류를 순서대로 정리하고 누락된 항목이 있는지 체크합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	12500	17:00:00	23:00:00	평일	3	1	2026-08-17
304	31	업무지원실 추가 알바 모집	업무지원실은 서울 지역의 사무보조 매장입니다. 사무실 비품 수량을 확인하고 방문객 응대와 회의실 정돈을 함께 진행합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	12750	19:00:00	02:00:00	주말	4	1	2026-06-28
305	32	집중공간 추가 알바 모집	집중공간은 서울 지역의 스터디카페 매장입니다. 퇴실 좌석을 닦고 콘센트 조명 책상 상태를 점검해 다음 이용자가 바로 사용할 수 있게 합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	13000	21:00:00	01:00:00	월,수,금	1	1	2026-08-15
306	33	라온스터디카페 추가 알바 모집	라온스터디카페은 서울 지역의 스터디카페 매장입니다. 좌석 이용 상태를 확인하고 무인 결제기 문의와 사물함 이용 안내를 차분히 처리합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	13250	10:00:00	15:00:00	화,목,토	2	1	2026-08-01
307	34	더클래스스터디 추가 알바 모집	더클래스스터디은 서울 지역의 스터디카페 매장입니다. 회원권 문의를 안내하고 프린터 용지와 간단 비품 재고를 확인합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	13500	12:00:00	18:00:00	월,화,수	3	1	2026-08-11
308	35	모닝빈 추가 알바 모집	모닝빈은 부산 지역의 카페 매장입니다. 디저트 쇼케이스 정리와 테이크아웃 포장 주문 접수를 담당하고 퇴근 전 커피 머신 주변을 닦습니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	13750	14:00:00	21:00:00	목,금,토	4	0	2026-07-10
309	36	달콤카페 추가 알바 모집	달콤카페은 부산 지역의 카페 매장입니다. 쿠폰 적립 안내와 키오스크 주문 확인을 보조하고 음료 라벨이 맞는지 한 번 더 확인합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	14000	16:00:00	20:00:00	평일	1	1	2026-08-25
310	37	루프탑커피 추가 알바 모집	루프탑커피은 부산 지역의 카페 매장입니다. 오전에는 원두와 우유 재고를 확인하고 피크 시간에는 음료 전달과 픽업대 정리를 함께 진행합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	14250	18:00:00	23:00:00	주말	2	1	2026-07-09
311	38	세븐마켓 추가 알바 모집	세븐마켓은 부산 지역의 편의점 매장입니다. 계산대 응대와 담배 재고 확인을 맡고 도시락 삼각김밥 유통기한을 시간대별로 점검합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	14500	20:00:00	02:00:00	월,수,금	3	1	2026-08-27
312	39	굿데이편의점 추가 알바 모집	굿데이편의점은 부산 지역의 편의점 매장입니다. 행사 상품 가격표를 확인하고 손님 문의가 많은 생활용품 위치를 안내합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	14750	09:00:00	16:00:00	화,목,토	4	1	2026-07-23
313	40	정든키친 추가 알바 모집	정든키친은 부산 지역의 음식점 매장입니다. 반찬 리필과 식기 정리 테이블 세팅을 담당하며 점심 피크 전 매장 준비를 돕습니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	10000	11:00:00	15:00:00	월,화,수	1	1	2026-08-29
314	41	우리식탁 추가 알바 모집	우리식탁은 부산 지역의 음식점 매장입니다. 주방과 홀 사이에서 요청 사항을 전달하고 주문 누락이 없도록 영수증을 확인합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	10250	13:00:00	18:00:00	목,금,토	2	1	2026-07-16
315	42	미소덮밥 추가 알바 모집	미소덮밥은 부산 지역의 음식점 매장입니다. 포장 주문 확인과 배달 기사 전달을 보조하고 홀 바닥과 셀프 코너를 수시로 정리합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	10500	15:00:00	21:00:00	평일	3	0	2026-08-08
316	43	버거스팟 추가 알바 모집	버거스팟은 부산 지역의 패스트푸드 매장입니다. 카운터 주문 접수와 세트 메뉴 포장을 맡고 감자튀김 음료 준비를 보조합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	10750	17:00:00	00:00:00	주말	4	1	2026-06-28
317	44	치킨웨이 추가 알바 모집	치킨웨이은 부산 지역의 패스트푸드 매장입니다. 마감 시간에는 트레이 정리 쓰레기 분리 매장 바닥 청소를 함께 진행합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11000	19:00:00	23:00:00	월,수,금	1	1	2026-08-17
318	45	하루패스트푸드 추가 알바 모집	하루패스트푸드은 부산 지역의 패스트푸드 매장입니다. 키오스크 주문 번호를 확인해 픽업대에 정확히 전달하고 소스 냅킨 재고를 채웁니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	11250	21:00:00	02:00:00	화,목,토	2	1	2026-07-08
319	46	브레드스퀘어 추가 알바 모집	브레드스퀘어은 부산 지역의 베이커리 매장입니다. 마감 전 남은 제품 정리와 매대 청소 포장지 재고 확인을 진행합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	11500	10:00:00	16:00:00	월,화,수	3	1	2026-06-29
320	47	스마일베이커리 추가 알바 모집	스마일베이커리은 부산 지역의 베이커리 매장입니다. 갓 나온 빵을 종류별로 배치하고 손님이 고른 제품을 깔끔하게 포장합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11750	12:00:00	19:00:00	목,금,토	4	1	2026-08-13
321	48	고소한빵집 추가 알바 모집	고소한빵집은 부산 지역의 베이커리 매장입니다. 오전에는 빵 진열과 집게 트레이 정리를 맡고 오후에는 포장과 계산 보조를 담당합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	12000	14:00:00	18:00:00	평일	1	1	2026-07-25
322	49	모아PC방 추가 알바 모집	모아PC방은 부산 지역의 PC방 매장입니다. 주방 조리대와 컵라면 코너를 청결하게 유지하고 주문 번호에 맞춰 메뉴를 전달합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	12250	16:00:00	21:00:00	주말	2	0	2026-08-18
323	50	에이스PC존 추가 알바 모집	에이스PC존은 부산 지역의 PC방 매장입니다. 회원 문의와 시간 충전 안내를 맡고 라면 음료 스낵 재고를 확인합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	12500	18:00:00	00:00:00	월,수,금	3	1	2026-07-21
324	51	시네마온 추가 알바 모집	시네마온은 부산 지역의 영화관 매장입니다. 티켓 발권 보조와 모바일 예매 확인을 진행하고 매점 소모품을 채웁니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	12750	20:00:00	03:00:00	화,목,토	4	1	2026-08-24
325	52	무비라운지 추가 알바 모집	무비라운지은 부산 지역의 영화관 매장입니다. 상영 시간표 문의를 응대하고 분실물 접수와 관람객 동선 안내를 담당합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	13000	09:00:00	13:00:00	월,화,수	1	1	2026-07-07
326	53	올림학원 추가 알바 모집	올림학원은 부산 지역의 학원 매장입니다. 학생 출결 확인과 교재 배부를 맡고 수업 전 강의실 책상과 칠판 상태를 정리합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	13250	11:00:00	16:00:00	목,금,토	2	1	2026-07-23
327	54	하이클래스학원 추가 알바 모집	하이클래스학원은 부산 지역의 학원 매장입니다. 수업 교실 이동 시간에 복도 질서를 확인하고 분실물과 공지사항 게시를 관리합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	13500	13:00:00	19:00:00	평일	3	1	2026-07-03
328	55	우리동네마트 추가 알바 모집	우리동네마트은 부산 지역의 마트 매장입니다. 농산 코너와 냉장 코너 상태를 점검하고 손님이 찾는 상품 위치를 안내합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	13750	15:00:00	22:00:00	주말	4	1	2026-07-25
329	56	그린마트 추가 알바 모집	그린마트은 부산 지역의 마트 매장입니다. 창고에서 필요한 상품을 가져와 진열하고 파손 상품이나 누락 가격표를 직원에게 전달합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	14000	17:00:00	21:00:00	월,수,금	1	0	2026-07-04
330	57	해피마트 추가 알바 모집	해피마트은 부산 지역의 마트 매장입니다. 카트와 장바구니를 정리하고 계산대 주변 소모품과 봉투 재고를 채웁니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	14250	19:00:00	00:00:00	화,목,토	2	1	2026-08-30
331	58	정직물류 추가 알바 모집	정직물류은 부산 지역의 물류센터 매장입니다. 입고 상품 바코드를 확인하고 분류 구역별로 박스를 이동시키는 업무를 맡습니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	14500	21:00:00	03:00:00	월,화,수	3	1	2026-07-05
332	59	박스라인센터 추가 알바 모집	박스라인센터은 부산 지역의 물류센터 매장입니다. 반품 상품 상태를 확인해 정상 재고와 검수 필요 물품으로 나누어 정리합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	14750	10:00:00	17:00:00	목,금,토	4	1	2026-08-01
333	60	온타임물류 추가 알바 모집	온타임물류은 부산 지역의 물류센터 매장입니다. 포장 전 상품 수량을 확인하고 완충재와 송장 부착 보조를 진행합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	10000	12:00:00	16:00:00	평일	1	1	2026-08-16
334	61	업무지원실 추가 알바 모집	업무지원실은 부산 지역의 사무보조 매장입니다. 사무실 비품 수량을 확인하고 방문객 응대와 회의실 정돈을 함께 진행합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	10250	14:00:00	19:00:00	주말	2	1	2026-08-17
335	62	비즈서포트 추가 알바 모집	비즈서포트은 부산 지역의 사무보조 매장입니다. 간단한 고객 안내 문자 발송과 회의 자료 출력 우편물 분류를 보조합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	10500	16:00:00	22:00:00	월,수,금	3	1	2026-06-25
336	63	클린오피스 추가 알바 모집	클린오피스은 부산 지역의 사무보조 매장입니다. 엑셀 자료 입력과 문서 스캔 파일명 정리를 맡고 전화 문의는 담당자에게 정확히 전달합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	10750	18:00:00	01:00:00	화,목,토	4	0	2026-08-17
337	64	라온스터디카페 추가 알바 모집	라온스터디카페은 부산 지역의 스터디카페 매장입니다. 회원권 문의를 안내하고 프린터 용지와 간단 비품 재고를 확인합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	11000	20:00:00	00:00:00	월,화,수	1	1	2026-07-25
338	65	더클래스스터디 추가 알바 모집	더클래스스터디은 부산 지역의 스터디카페 매장입니다. 음료 코너 컵 얼음 정수기 주변을 정리하고 조용한 분위기가 유지되도록 순회합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11250	09:00:00	14:00:00	목,금,토	2	1	2026-07-02
339	66	달콤카페 추가 알바 모집	달콤카페은 천안 지역의 카페 매장입니다. 쿠폰 적립 안내와 키오스크 주문 확인을 보조하고 음료 라벨이 맞는지 한 번 더 확인합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	11500	11:00:00	17:00:00	평일	3	1	2026-08-16
340	67	루프탑커피 추가 알바 모집	루프탑커피은 천안 지역의 카페 매장입니다. 오전에는 원두와 우유 재고를 확인하고 피크 시간에는 음료 전달과 픽업대 정리를 함께 진행합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11750	13:00:00	20:00:00	주말	4	1	2026-08-24
341	68	하루커피 추가 알바 모집	하루커피은 천안 지역의 카페 매장입니다. 에스프레소 추출 보조와 아이스 음료 제조 보조를 맡고 컵 홀더 빨대 시럽류 재고를 수시로 채웁니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	12000	15:00:00	19:00:00	월,수,금	1	1	2026-07-06
342	69	블루머그 추가 알바 모집	블루머그은 천안 지역의 카페 매장입니다. 매장 테이블을 빠르게 정리하고 반납대 컵 분류와 베이커리 진열 상태 확인을 맡습니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	12250	17:00:00	22:00:00	화,목,토	2	1	2026-08-16
343	70	굿데이편의점 추가 알바 모집	굿데이편의점은 천안 지역의 편의점 매장입니다. 택배 접수와 보관함 정리 컵라면 온수대 청결 관리까지 매장 기본 업무를 담당합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	12500	19:00:00	01:00:00	월,화,수	3	0	2026-07-16
344	71	모닝스토어 추가 알바 모집	모닝스토어은 천안 지역의 편의점 매장입니다. 입고된 박스를 정리하고 과자 음료 즉석식품 진열대를 보기 좋게 채웁니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	12750	21:00:00	04:00:00	목,금,토	4	1	2026-08-25
345	72	이지편의점 추가 알바 모집	이지편의점은 천안 지역의 편의점 매장입니다. 야간 시간대 상품 진열과 냉장 음료 보충을 중심으로 계산 실수 없이 응대합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	13000	10:00:00	14:00:00	평일	1	1	2026-08-27
346	73	오늘편의점 추가 알바 모집	오늘편의점은 천안 지역의 편의점 매장입니다. 계산대 응대와 담배 재고 확인을 맡고 도시락 삼각김밥 유통기한을 시간대별로 점검합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	13250	12:00:00	17:00:00	주말	2	1	2026-08-25
347	74	우리식탁 추가 알바 모집	우리식탁은 천안 지역의 음식점 매장입니다. 손님 퇴장 후 테이블을 빠르게 치우고 다음 손님을 위해 수저와 물컵을 준비합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	13500	14:00:00	20:00:00	월,수,금	3	1	2026-09-02
348	75	미소덮밥 추가 알바 모집	미소덮밥은 천안 지역의 음식점 매장입니다. 반찬 리필과 식기 정리 테이블 세팅을 담당하며 점심 피크 전 매장 준비를 돕습니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	13750	16:00:00	23:00:00	화,목,토	4	1	2026-08-31
349	76	달빛식당 추가 알바 모집	달빛식당은 천안 지역의 음식점 매장입니다. 주방과 홀 사이에서 요청 사항을 전달하고 주문 누락이 없도록 영수증을 확인합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	14000	18:00:00	22:00:00	월,화,수	1	1	2026-07-06
350	77	온기밥상 추가 알바 모집	온기밥상은 천안 지역의 음식점 매장입니다. 포장 주문 확인과 배달 기사 전달을 보조하고 홀 바닥과 셀프 코너를 수시로 정리합니다. 근무 중에는 정확한 확인과 깔끔한 마무리를 중요하게 보며 성실하게 오래 함께할 분을 찾습니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	14250	20:00:00	01:00:00	목,금,토	2	0	2026-06-25
351	78	치킨웨이 추가 알바 모집	치킨웨이은 천안 지역의 패스트푸드 매장입니다. 카운터 주문 접수와 세트 메뉴 포장을 맡고 감자튀김 음료 준비를 보조합니다. 정해진 시간 안에 맡은 구역을 관리하는 업무라 꼼꼼함과 시간 약속을 잘 지키는 분에게 잘 맞습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	14500	09:00:00	15:00:00	평일	3	1	2026-07-27
352	79	하루패스트푸드 추가 알바 모집	하루패스트푸드은 천안 지역의 패스트푸드 매장입니다. 마감 시간에는 트레이 정리 쓰레기 분리 매장 바닥 청소를 함께 진행합니다. 고객이 몰리는 시간에는 빠른 응대가 필요하고 마감 전에는 다음 근무자를 위한 정리까지 함께 진행합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	14750	11:00:00	18:00:00	주말	4	1	2026-07-09
353	80	스마일베이커리 추가 알바 모집	스마일베이커리은 천안 지역의 베이커리 매장입니다. 케이크 예약 상품을 확인하고 쇼케이스 온도와 진열 상태를 수시로 점검합니다. 바쁜 시간대에는 역할을 나누어 움직이고 한가한 시간에는 정리와 준비 작업을 차분히 진행합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	10000	13:00:00	17:00:00	월,수,금	1	1	2026-08-24
